rank,title,artist,release,summary,metascore,userscore
11043,Summer of '13,Malcolm Middleton,"May 27, 2016","The first new solo release for the Scottish artist under his real name in seven years features contributions from De Rosa's Martin John Henry, First Aid Kit drummer Scott Simpson and Beta Band's Gordon Anderson.",65,tbd
11044,Save Your Season,Mint Julep,"November 21, 2011",This is the second release for the husband and wife team of Keith and Hollie Kenniff.,65,tbd
11045,Our Bright Future,Tracy Chapman,"November 11, 2008",The latest album for the Grammy-winning artist was produced with Larry Klein.,65,8.3
11046,Made In Sheffield,Tony Christie,"November 10, 2008","The man behind the UK hit ‘Is This The Way To Amarillo’ is back with his latest album which features songs written by Richard Hawley, Jarvis Cocker and the Arctic Monkeys' Alex Turner.",65,tbd
11047,Cosmic Egg,Wolfmother,"October 26, 2009",The second album for the Australian rock band was produced by Alan Moulder.,65,7.7
11048,Speed of Darkness,Flogging Molly,"May 31, 2011","Ryan Hewitt produced the Celtic punk rock band's fifth studio album, which was recorded at a church-turned-recording-studio.",65,tbd
11049,Welcome Joy,The Cave Singers,"August 18, 2009",The second album for the Seattle-based indie rock band was produced by Colin Stewart.,65,tbd
11050,"Mama, I'm Swollen",Cursive,"March 10, 2009","The sixth studio album for the Omaha, Nebraska-based indie-rock band.",65,8.1
11051,Rise To Your Knees,Meat Puppets,"July 17, 2007",The rock band reunites (with a new drummer) for a new album.,65,6.6
11052,Songs of Patience,Alberta Cross,"July 17, 2012",The second full-length release for the Brooklyn-based indie rock band led by Petter Ericson Stakee and Terry Wolfers took three years and three producers to make.,65,tbd
11053,Art of McCartney,Various Artists,"November 18, 2014","The two-disc tribute album to Paul McCartney songs features such artists as Harry Connick, Jr., Alice Cooper, Roger Daltrey, Def Leppard, Dr. John, Bob Dylan, Barry Gibb, Heart, Billy Joel, Kiss, Jeff Lynne, Steve Miller, Willie Nelson, Corinne Bailey Rae, Smokey Robinson, and Brian Wilson.",65,tbd
11054,Best of Times,My Sad Captains,"March 17, 2014",The third studio release for the British indie rock band led by Ed Wallis was mixed by Larry Crane.,65,tbd
11055,Word of Mouth,Seth Lakeman,"February 3, 2014",The seventh release for the British folk artist was recorded in a Cornish church.,65,tbd
11056,My Shame Is True,Alkaline Trio,"April 2, 2013",The ninth full-length studio release for the punk rock trio was produced by Bill Stevenson and Jason Livermore.,65,7.6
11057,The Duckworth Lewis Method,The Duckworth Lewis Method,"July 6, 2009",The debut album for the Irish band formed by Neil Hannon and Thomas Walsh was inspired by the game of cricket.,65,8.3
11058,Wonder,Shawn Mendes,"December 4, 2020",The fourth full-length release for the Canadian singer-songwriter features a duet with Justin Bieber.,65,8.1
11059,Planet Earth,Prince,"July 24, 2007",Prince returns with his 24th studio album--but not without a bit of controversy.,65,7.0
11060,Four,One Direction,"November 17, 2014","The fourth full-length studio release for the London-based pop band features songs co-written by Ed Drewett, Wayne Hector, Jamie Scott, and Ed Sheeran,.",65,6.5
11061,Green Imagination,The Sunshine Fix,"August 17, 2004","This is the second album for the group led by Bill Doss (formerly of Olivia Tremor Control), which mixes psychedelia and pop.",65,tbd
11062,St. Anger,Metallica,"June 10, 2003","As the title implies, the metal band is just as, well, angry as ever on their first new studio album since 'Load' and 'Reload' appeared in 1996 and 1997. Just don't try downloading it for free--then you'll see some real anger.",65,5.5
11063,Love & Distortion,The Stratford 4,"April 8, 2003","This is the sophomore release for San Francisco's atmospheric noise-pop band led by vocalist Chris Streng, whose previous band shared members with Black Rebel Motorcycle Club.",65,tbd
11064,Exciter,Depeche Mode,"May 15, 2001","This is the first album of new material since 1997's 'Ultra' for Depeche Mode, which again sees the band as a trio (consisting of David Gahan, Martin L. Gore, and Andy Fletcher) but also sees them experimenting more with a wider variety of sounds, including acoustic guitar. It is DM's first time in the studio with producer Mark Bell, who has previously worked with Bjork and was a member of the early-90s techno outfit LFO. The lead single from the 13-track album is ""Dream On.""",65,7.7
11065,The Green World,Dar Williams,"August 22, 2000",,65,tbd
11066,El Rey,The Wedding Present,"May 20, 2008","The band led by David Gedge releases its latest album, produced by Steve Albini.",65,tbd
11067,X,Kylie Minogue,"April 1, 2008",Kylie returns after her battle with breast cancer with her latest album.,65,8.6
11068,Let There Be Morning,The Perishers,"April 12, 2005","'Morning' marks the U.S. debut for the Swedish four-piece, who originally formed in 1997.",65,8.0
11069,Omni,Minus the Bear,"May 4, 2010",Joe Chiccarelli produced the Seattle-based rock group's fourth album on new label Dangerbird Records.,65,6.9
11070,Without Feathers,The Stills,"May 9, 2006","This long-overdue second album finds the Montreal band shedding its dark, Joy Division-influenced sound for one that more closely resembles classic rock.",65,6.5
11071,"Different Gear, Still Speeding",Beady Eye,"March 1, 2011","With frontman Liam Gallagher taking the reins sans brother Noel, the debut of the Steve Lillywhite-produced album combines psychedelic rock with Beatles-sounding Brit-pop that shows remnants of early Oasis in it's sound.",65,6.1
11072,Strange Clouds,B.o.B,"May 1, 2012","The second album for rapper B.o.B. features guest appearances from Morgan Freeman, Taylor Swift, Chris Brown, Lil Wayne, Nicki Minaj, Ryan Tedder, Trey Songz, and T.I.",65,7.7
11073,Crush Songs,Karen O,"September 9, 2014",The debut full-length solo release for the Yeah Yeah Yeahs singer was originally recorded in 2006-07.,65,6.9
11074,The Blueprint 3,Jay-Z,"September 8, 2009","After seven years, the final album of his Blueprint series is finally released.",65,7.2
11075,Greedy Baby,Plaid,"July 11, 2006",The British electronica duo of Ed Handley and Andy Turner team with visual artist Bob Jaroc for this combination of music and video.,65,tbd
11076,Transfixiation,A Place to Bury Strangers,"February 17, 2015",The fourth full-length release for the noise rock band is its first with new drummer Robi Gonzalez.,65,7.4
11077,Everybody Loves A Happy Ending,Tears For Fears,"September 14, 2004",A reunited Curt Smith and Roland Orzabal return with their first Tears For Fears album together in 15 years.,65,8.9
11078,R.E.M Live,R.E.M.,"October 16, 2007",The first live album for R.E.M. is a recording of the band's Dublin concert in 2005.,65,7.2
11079,Gauntlet Hair,Gauntlet Hair,"October 18, 2011",The Colorado duo of Andy R. and Craig Nice releases its debut full-length album.,65,tbd
11080,Before This World,James Taylor,"June 16, 2015",The first release of original material from the multiple Grammy winning singer-songwriter features a guest appearance from Sting and was produced with Dave O'Donnell.,65,6.8
11081,Success,KEN mode,"June 16, 2015",The sixth full-length release for the Canadian noise rock trio was produced by Steve Albini.,65,tbd
11082,Quarters,Seams,"September 30, 2013",The debut full-length studio release for British electronic producer James Welch was recorded in four different locations in Berlin.,65,tbd
11083,Kiss Land,The Weeknd,"September 10, 2013","After a trilogy of mixtapes, the Canadian artist releases his debut studio release that includes a guest appearance from Drake.",65,8.2
11084,All Hell Breaks Loose,Black Star Riders,"May 28, 2013","The debut release for the hard rock band formed by Thin Lizzy guitarist Scott Gorham with Ricky Warwick, Jimmy DeGrasso, Marco Mendoza, and Damon Johnson was produced by Kevin Shirley.",65,tbd
11085,Candela,Mice Parade,"January 29, 2013",The seventh release for the band led by Adam Pierce sees the group adding more pop elements to the other music styles heard on previous albums.,65,tbd
11086,This Is Christmas,Tim Wheeler,"November 21, 2011","Ash singer Tim Wheeler and his singer/songwriter girlfriend, Emmy the Great, wrote this album of Christmas songs after being trapped at an airport by a snowstorm.",65,tbd
11087,In the Grace of Your Love,The Rapture,"September 5, 2011",The New York trio releases their fourth album of dance punk.,65,8.2
11088,%,Dinowalrus,"January 19, 2010",This is the debut album for the Brooklyn-based trio.,65,tbd
11089,"A Guide to Love, Loss & Desperation",The Wombats,"November 5, 2007","The debut album from the three-piece from Liverpool, England.",65,8.1
11090,There's No 666 In Outer Space,Hella,"January 30, 2007","The Sacramento duo has transformed into a full five-piece band, fronted by new singer Aaron Ross, for this new LP.",65,7.5
11091,4:21 ... The Day After,Method Man,"August 29, 2006","The Wu-Tang star's fourth solo album includes contributions from Ol' Dirty Bastard, RZA, Ginuwine and Raekwon.",65,7.2
11092,It Ain't Safe No More,Busta Rhymes,"November 26, 2002","Busta is back with 19 new tracks, including collaborations with Mariah Carey, Carl Thomas and The Neptunes.",65,6.8
11093,Mind Elevation,Nightmares on Wax,"September 3, 2002","The British techno pioneer(s) (now down to just one founding member, George Evelyn), return with their first studio album in three years.",65,tbd
11094,Strange Little Girls,Tori Amos,"September 18, 2001","Yes, it is a covers album, but with a bit of a twist: all the songs were originally written and performed by men, and Amos has reinterpreted them from a woman's standpoint. This eclectic collection (12 tracks in all) includes versions of Depeche Mode's ""Enjoy The Silence,"" Eminem's ""97' Bonnie and Clyde,"" 10cc's ""I'm Not In Love,"" Neil Young's ""Heart Of Gold,"" Slayer's ""Raining Blood,"" and the Boomtown Rats' ""I Don't Like Mondays.""",65,8.6
11095,Hard Candy,Madonna,"April 29, 2008","The queen of pop's latest and last release on the Warner Brothers label was produced in part by Nate ""Danja"" Hills, Timbaland, Justin Timberlake, and Pharrell Williams.",65,7.3
11096,Pocketful of Sunshine,Natasha Bedingfield,"January 22, 2008",The sophomore album for the English singer.,65,8.4
11097,The Alchemy Index Vols. I and II: Fire and Water,Thrice,"October 16, 2007",The first of two volumes of EPs produced by their guitarist Teppei Teranishi.,65,8.3
11098,Wanderlust,Sophie Ellis-Bextor,"January 20, 2014",The fifth full-length release for the British indie singer was co-written and produced by Ed Harcourt.,65,8.2
11099,Konk,The Kooks,"April 15, 2008","The sophomore album was produced by Tony Hoffer. The British band recently lost its bassist Max Rafferty, who quit earlier this year.",65,7.8
11101,Forever,Painted Palms,"January 14, 2014",This is the debut full-length release for the San Francisco-based cousins Reese Donohue and Christopher Prudhomme.,65,8.5
11102,L.A.X.,The Game,"August 26, 2008","The third album for the rapper from California features guest artists such as Common, Ice Cube, Lil Wayne, Ludacris, Nas, Ne-Yo, and Travis Barker.",65,7.8
11103,From the Hills Below the City,Houndmouth,"June 4, 2013","The debut release for the folk rock quartet from New Albany, Indiana (near Louisville, Kentucky) was produced by Kevin Ratterman.",65,8.0
11104,Here I Stand,Usher,"May 27, 2008","The fifth album for the R&B singer features Young Jeezy, will.i.am, Jay-Z, Jermaine Dupri, Beyoncé, and Lil Wayne.",65,7.2
11105,Native,OneRepublic,"March 26, 2013",This is the third full-length studio release for the pop rock band led by singer-songwriter/producer Ryan Tedder.,65,8.4
11106,Avril Lavigne,Avril Lavigne,"November 5, 2013","The fifth full-length studio release for the Canadian pop singer features songs co-written with her husband, Chad Kroeger of Nickelback.",65,7.9
11107,Negotiations,The Helio Sequence,"September 10, 2012","The fifth full-length release for the Portland, Oregon indie folk duo was writtened, recorded and produced by The Helio Sequence.",65,8.2
11108,Ursa Major,Third Eye Blind,"August 17, 2009",The fourth album for the alternative rock band from San Francisco is its first album since being dropped by Atlantic Records (which had taken over Elektra's roster of bands).,65,8.4
